timestamp,state,district,year,week_number,column,original_count,action
2026-01-09T21:27:07.142661,100000,100000,2025,43,enroll_child,1,suppressed
2026-01-09T21:27:07.142718,Andaman & Nicobar Islands,Andamans,2025,36,enroll_child,1,suppressed
2026-01-09T21:27:07.142754,Andaman & Nicobar Islands,Andamans,2025,37,enroll_child,1,suppressed
2026-01-09T21:27:07.142787,Andaman & Nicobar Islands,Andamans,2025,38,enroll_child,1,suppressed
2026-01-09T21:27:07.142816,Andaman & Nicobar Islands,Andamans,2025,39,enroll_child,1,suppressed
2026-01-09T21:27:07.142849,Andaman & Nicobar Islands,Andamans,2025,51,enroll_child,1,suppressed
2026-01-09T21:27:07.142877,Andaman and Nicobar Islands,Nicobar,2025,36,enroll_child,3,suppressed
2026-01-09T21:27:07.142903,Andaman and Nicobar Islands,Nicobar,2025,37,enroll_child,2,suppressed
2026-01-09T21:27:07.142940,Andaman and Nicobar Islands,Nicobar,2025,39,enroll_child,1,suppressed
2026-01-09T21:27:07.142973,Andaman and Nicobar Islands,Nicobar,2025,42,enroll_child,1,suppressed
2026-01-09T21:27:07.143000,Andaman and Nicobar Islands,Nicobar,2025,43,enroll_child,2,suppressed
2026-01-09T21:27:07.143030,Andaman and Nicobar Islands,Nicobar,2025,44,enroll_child,1,suppressed
2026-01-09T21:27:07.143057,Andaman and Nicobar Islands,Nicobar,2025,52,enroll_child,1,suppressed
2026-01-09T21:27:07.143083,Andaman and Nicobar Islands,North And Middle Andaman,2025,37,enroll_child,1,suppressed
2026-01-09T21:27:07.143109,Andaman and Nicobar Islands,North And Middle Andaman,2025,38,enroll_child,1,suppressed
2026-01-09T21:27:07.143135,Andaman and Nicobar Islands,North And Middle Andaman,2025,42,enroll_child,1,suppressed
2026-01-09T21:27:07.143160,Andaman and Nicobar Islands,North And Middle Andaman,2025,52,enroll_child,1,suppressed
2026-01-09T21:27:07.143186,Andaman and Nicobar Islands,South Andaman,2025,36,enroll_child,2,suppressed
2026-01-09T21:27:07.143210,Andaman and Nicobar Islands,South Andaman,2025,37,enroll_child,1,suppressed
2026-01-09T21:27:07.143236,Andaman and Nicobar Islands,South Andaman,2025,38,enroll_child,1,suppressed
2026-01-09T21:27:07.143268,Andaman and Nicobar Islands,South Andaman,2025,42,enroll_child,2,suppressed
2026-01-09T21:27:07.143294,Andaman and Nicobar Islands,South Andaman,2025,43,enroll_child,1,suppressed
2026-01-09T21:27:07.143320,Andaman and Nicobar Islands,South Andaman,2025,46,enroll_child,2,suppressed
2026-01-09T21:27:07.143348,Andaman and Nicobar Islands,South Andaman,2025,47,enroll_child,1,suppressed
2026-01-09T21:27:07.143373,Andaman and Nicobar Islands,South Andaman,2025,52,enroll_child,1,suppressed
2026-01-09T21:27:07.143400,Andaman and Nicobar Islands,South Andaman,2026,1,enroll_child,1,suppressed
2026-01-09T21:27:07.143427,Andhra Pradesh,Adilabad,2025,40,enroll_child,1,suppressed
2026-01-09T21:27:07.143453,Andhra Pradesh,Adilabad,2025,48,enroll_child,2,suppressed
2026-01-09T21:27:07.143480,Andhra Pradesh,Adilabad,2025,51,enroll_child,2,suppressed
2026-01-09T21:27:07.143505,Andhra Pradesh,Adilabad,2025,52,enroll_child,9,suppressed
2026-01-09T21:27:07.143530,Andhra Pradesh,Adilabad,2026,1,enroll_child,5,suppressed
2026-01-09T21:27:07.143555,Andhra Pradesh,Alluri Sitharama Raju,2025,43,enroll_child,7,suppressed
2026-01-09T21:27:07.143581,Andhra Pradesh,Alluri Sitharama Raju,2025,47,enroll_child,8,suppressed
2026-01-09T21:27:07.143607,Andhra Pradesh,Alluri Sitharama Raju,2025,51,enroll_child,5,suppressed
2026-01-09T21:27:07.143633,Andhra Pradesh,Alluri Sitharama Raju,2025,52,enroll_child,1,suppressed
2026-01-09T21:27:07.143658,Andhra Pradesh,Alluri Sitharama Raju,2026,1,enroll_child,5,suppressed
2026-01-09T21:27:07.143683,Andhra Pradesh,Anakapalli,2025,36,enroll_child,1,suppressed
2026-01-09T21:27:07.143709,Andhra Pradesh,Anakapalli,2025,37,enroll_child,1,suppressed
2026-01-09T21:27:07.143734,Andhra Pradesh,Anakapalli,2025,39,enroll_child,2,suppressed
2026-01-09T21:27:07.143760,Andhra Pradesh,Anakapalli,2025,42,enroll_child,2,suppressed
2026-01-09T21:27:07.143786,Andhra Pradesh,Anakapalli,2025,43,enroll_child,1,suppressed
2026-01-09T21:27:07.143812,Andhra Pradesh,Anakapalli,2025,44,enroll_child,1,suppressed
2026-01-09T21:27:07.143839,Andhra Pradesh,Anakapalli,2025,46,enroll_child,2,suppressed
2026-01-09T21:27:07.143865,Andhra Pradesh,Anakapalli,2025,47,enroll_child,2,suppressed
2026-01-09T21:27:07.143891,Andhra Pradesh,Anantapur,2025,40,enroll_child,2,suppressed
2026-01-09T21:27:07.143916,Andhra Pradesh,Anantapur,2025,48,enroll_child,8,suppressed
2026-01-09T21:27:07.143942,Andhra Pradesh,Anantapur,2025,51,enroll_child,9,suppressed
2026-01-09T21:27:07.143967,Andhra Pradesh,Ananthapur,2025,37,enroll_child,9,suppressed
2026-01-09T21:27:07.143992,Andhra Pradesh,Ananthapur,2025,40,enroll_child,2,suppressed
2026-01-09T21:27:07.144017,Andhra Pradesh,Ananthapur,2025,43,enroll_child,9,suppressed
2026-01-09T21:27:07.144070,Andhra Pradesh,Ananthapur,2025,45,enroll_child,9,suppressed
2026-01-09T21:27:07.144095,Andhra Pradesh,Ananthapur,2025,47,enroll_child,3,suppressed
2026-01-09T21:27:07.144120,Andhra Pradesh,Ananthapur,2025,48,enroll_child,1,suppressed
2026-01-09T21:27:07.144145,Andhra Pradesh,Ananthapur,2025,51,enroll_child,5,suppressed
2026-01-09T21:27:07.144181,Andhra Pradesh,Ananthapur,2025,52,enroll_child,9,suppressed
2026-01-09T21:27:07.144212,Andhra Pradesh,Ananthapuramu,2025,47,enroll_child,3,suppressed
2026-01-09T21:27:07.144238,Andhra Pradesh,Ananthapuramu,2025,48,enroll_child,6,suppressed
2026-01-09T21:27:07.144266,Andhra Pradesh,Ananthapuramu,2025,51,enroll_child,3,suppressed
2026-01-09T21:27:07.144291,Andhra Pradesh,Ananthapuramu,2026,1,enroll_child,9,suppressed
2026-01-09T21:27:07.144318,Andhra Pradesh,Annamayya,2025,36,enroll_child,1,suppressed
2026-01-09T21:27:07.144344,Andhra Pradesh,Annamayya,2025,37,enroll_child,5,suppressed
