state,district,year,week_number,bio_update_child,demo_update_child,update_backlog_child,is_anomaly,anomaly_score,shesd_bio_anomaly,shesd_demo_anomaly,combined_anomaly
100000,100000,2026,1,0,0,0,0,0.22883769135250992,0,0,0
Andaman & Nicobar Islands,Andamans,2026,1,-1,0,1,0,0.22023305520082254,0,0,0
Andaman & Nicobar Islands,Nicobars,2025,49,0,0,0,0,0.22883769135250992,0,0,0
Andaman & Nicobar Islands,South Andaman,2026,1,-1,0,1,0,0.22023305520082254,0,0,0
Andaman and Nicobar Islands,Nicobar,2026,1,-1,0,1,0,0.22023305520082254,0,0,0
Andaman and Nicobar Islands,North And Middle Andaman,2026,1,10,-1,-11,0,0.19509336265915722,0,0,0
Andaman and Nicobar Islands,South Andaman,2026,1,52,-1,-53,0,0.11346064837053749,0,0,0
Andhra Pradesh,Adilabad,2026,1,56,14,-42,0,0.22796022325529586,0,0,0
Andhra Pradesh,Alluri Sitharama Raju,2026,1,24,-1,-25,0,0.1634633004855967,0,0,0
Andhra Pradesh,Anakapalli,2026,1,12,-1,-13,0,0.19038181235102558,0,0,0
Andhra Pradesh,Anantapur,2026,1,121,20,-101,0,0.22015058206317167,0,0,0
Andhra Pradesh,Ananthapur,2026,1,154,36,-118,0,0.2228389690151853,0,0,0
Andhra Pradesh,Ananthapuramu,2026,1,220,18,-202,0,0.2028714646862338,0,0,0
Andhra Pradesh,Annamayya,2026,1,34,-1,-35,0,0.1433579208863962,0,0,0
Andhra Pradesh,Bapatla,2026,1,24,-1,-25,0,0.1634633004855967,0,0,0
Andhra Pradesh,Chittoor,2026,1,565,66,-499,0,0.2182530568300371,0,0,0
Andhra Pradesh,Cuddapah,2026,1,488,34,-454,0,0.20191810360118562,0,0,0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2026,1,19,-1,-20,0,0.16880475990219423,0,0,0
Andhra Pradesh,East Godavari,2026,1,499,82,-417,0,0.22044098660079592,0,0,0
Andhra Pradesh,Eluru,2026,1,16,-1,-17,0,0.18895496024527814,0,0,0
Andhra Pradesh,Guntur,2026,1,518,69,-449,0,0.22019163079375736,0,0,0
Andhra Pradesh,Hyderabad,2026,1,148,12,-136,0,0.2028541841146343,0,0,0
Andhra Pradesh,K.V.Rangareddy,2026,1,0,-1,-1,0,0.20801393255783773,0,0,0
Andhra Pradesh,K.v. Rangareddy,2026,1,-1,0,1,0,0.22023305520082254,0,0,0
Andhra Pradesh,Kakinada,2026,1,34,-1,-35,0,0.1433579208863962,0,0,0
Andhra Pradesh,Karim Nagar,2026,1,-1,0,1,0,0.22023305520082254,0,0,0
Andhra Pradesh,Karimnagar,2026,1,22,-1,-23,0,0.16569969172171367,0,0,0
Andhra Pradesh,Khammam,2026,1,46,14,-32,0,0.22783882461834054,0,0,0
Andhra Pradesh,Krishna,2026,1,462,46,-416,0,0.21190636585434014,0,0,0
Andhra Pradesh,Kurnool,2026,1,704,48,-656,0,0.19866379239385307,0,0,0
Andhra Pradesh,Mahabub Nagar,2026,1,-1,-1,0,0,0.22545250740149558,0,0,0
Andhra Pradesh,Mahabubnagar,2026,1,0,0,0,0,0.22883769135250992,0,0,0
Andhra Pradesh,Mahbubnagar,2026,1,-1,-1,0,0,0.22509819554917515,0,0,0
Andhra Pradesh,Medak,2026,1,33,-1,-34,0,0.14450214558816016,0,0,0
