state,district,year,week_number,bio_update_child,demo_update_child,update_backlog_child,is_anomaly,anomaly_score,shesd_bio_anomaly,shesd_demo_anomaly,combined_anomaly
Bihar,Purbi Champaran,2025,27,0,0,0,1,-0.061087656421951686,0,0,1
Chhattisgarh,Dhamtari,2026,1,280,-1,-281,1,-0.039664741280354576,0,0,1
Chhattisgarh,Gariyaband,2026,1,231,-1,-232,1,-0.050355521452216,0,0,1
Chhattisgarh,Kabeerdham,2026,1,215,-1,-216,1,-0.03493098571318631,0,0,1
Goa,North Goa,2026,1,132,-1,-133,1,-0.0038678039022956856,0,0,1
Goa,South Goa,2026,1,138,-1,-139,1,-0.011489038782171113,0,0,1
Haryana,Faridabad,2026,1,291,-1,-292,1,-0.05227559444499852,0,0,1
Haryana,Mahendragarh,2026,1,161,-1,-162,1,-0.02856708283870879,0,0,1
Haryana,Panipat,2026,1,126,-1,-127,1,-0.002839819265889054,0,0,1
Haryana,Sonipat,2026,1,151,-1,-152,1,-0.02363380190947595,0,0,1
Jammu and Kashmir,Jammu,2026,1,214,-1,-215,1,-0.039931434102377095,0,0,1
Jammu and Kashmir,Kathua,2026,1,145,-1,-146,1,-0.03220090097687911,0,0,1
Jammu and Kashmir,Srinagar,2026,1,300,-1,-301,1,-0.043665536527775384,0,0,1
Jammu and Kashmir,Udhampur,2026,1,122,-1,-123,1,-0.001237701856076967,0,0,1
Jharkhand,Chatra,2026,1,93,-1,-94,1,-0.00521525091688535,0,0,1
Jharkhand,Dumka,2026,1,113,-1,-114,1,-0.01855880265003451,0,0,1
Karnataka,Ballari,2026,1,149,-1,-150,1,-0.022436733956756716,0,0,1
Karnataka,Bellary,2026,1,149,-1,-150,1,-0.022436733956756716,0,0,1
Karnataka,Bengaluru Urban,2025,27,0,0,0,1,-0.047885488926648345,0,0,1
Karnataka,Bidar,2026,1,311,-1,-312,1,-0.04663247794551162,0,0,1
Karnataka,Chamrajanagar,2026,1,159,-1,-160,1,-0.02442077924978059,0,0,1
Karnataka,Chikkaballapur,2026,1,208,-1,-209,1,-0.04065873764789807,0,0,1
Karnataka,Gulbarga,2026,1,171,-1,-172,1,-0.03528328605055231,0,0,1
Karnataka,Hassan,2026,1,160,-1,-161,1,-0.037479356794939966,0,0,1
Karnataka,Haveri,2026,1,179,-1,-180,1,-0.027802652040452625,0,0,1
Karnataka,Mysuru,2026,1,685,-1,-686,1,-0.04281602783193328,0,0,1
Karnataka,Ramanagar,2026,1,138,-1,-139,1,-0.011489038782171113,0,0,1
Karnataka,Shivamogga,2026,1,132,-1,-133,1,-0.0038678039022956856,0,0,1
Karnataka,Tumakuru,2026,1,197,-1,-198,1,-0.02995043012747156,0,0,1
Karnataka,Tumkur,2026,1,133,-1,-134,1,-0.009562814953290033,0,0,1
Karnataka,Udupi,2026,1,216,-1,-217,1,-0.047805814349482945,0,0,1
Karnataka,Uttara Kannada,2026,1,208,-1,-209,1,-0.03487419846343143,0,0,1
Karnataka,Yadgir,2026,1,277,-1,-278,1,-0.05684417298753397,0,0,1
Kerala,Alappuzha,2026,1,602,-1,-603,1,-0.04893839039246828,0,0,1
Kerala,Ernakulam,2026,1,472,-1,-473,1,-0.05333511646464528,0,0,1
Kerala,Idukki,2026,1,182,-1,-183,1,-0.028694114779420632,0,0,1
Kerala,Kasaragod,2026,1,231,-1,-232,1,-0.050270083122340825,0,0,1
Kerala,Kollam,2026,1,378,-1,-379,1,-0.06283947075875007,0,0,1
Kerala,Kottayam,2026,1,408,-1,-409,1,-0.04930313465418601,0,0,1
Kerala,Pathanamthitta,2026,1,228,-1,-229,1,-0.044479538732651536,0,0,1
Madhya Pradesh,Alirajpur,2026,1,149,-1,-150,1,-0.04619233558113378,0,0,1
Madhya Pradesh,Datia,2026,1,107,-1,-108,1,-0.0033175142802447377,0,0,1
Madhya Pradesh,Guna,2026,1,162,-1,-163,1,-0.049935936812488646,0,0,1
Madhya Pradesh,Hoshangabad,2026,1,145,-1,-146,1,-0.0295240882586022,0,0,1
Madhya Pradesh,Neemuch,2026,1,146,-1,-147,1,-0.033654544410330445,0,0,1
Madhya Pradesh,Panna,2026,1,134,-1,-135,1,-0.03736930918675363,0,0,1
Maharashtra,Bhandara,2026,1,132,-1,-133,1,-0.0038678039022956856,0,0,1
Maharashtra,Gadchiroli,2026,1,130,-1,-131,1,-0.003981407074513776,0,0,1
Maharashtra,Nandurbar,2026,1,310,-1,-311,1,-0.04905151013118236,0,0,1
Maharashtra,Wardha,2026,1,190,-1,-191,1,-0.029923025969880723,0,0,1
Maharashtra,Washim,2026,1,239,-1,-240,1,-0.046368333400163886,0,0,1
Punjab,Patiala,2026,1,164,-1,-165,1,-0.030884437874817317,0,0,1
Punjab,SAS Nagar (Mohali),2026,1,123,-1,-124,1,-0.0035480372251113224,0,0,1
Rajasthan,Rajsamand,2026,1,157,-1,-158,1,-0.043388546968230024,0,0,1
Uttar Pradesh,Siddharth Nagar,2025,27,0,0,0,1,-0.02767859004203177,0,0,1
Uttarakhand,Chamoli,2026,1,198,-1,-199,1,-0.029923025969880723,0,0,1
Uttarakhand,Pithoragarh,2026,1,220,-1,-221,1,-0.03493098571318631,0,0,1
Uttarakhand,Tehri Garhwal,2026,1,295,-1,-296,1,-0.04915532992089555,0,0,1
West Bengal,24 Paraganas North,2025,27,0,0,0,1,-0.026072107286669977,0,0,1
West Bengal,Coochbehar,2025,27,0,0,0,1,-0.026072107286669977,0,0,1
West Bengal,Dinajpur Uttar,2025,27,0,0,0,1,-0.047885488926648345,0,0,1
