state,district,year,week_number,bottleneck_label,rationale,current_bio_updates,current_demo_updates,update_backlog,completion_rate,shap_explanation,top_feature
Chhattisgarh,Dhamtari,2026,1,ANOMALY_DETECTED,Isolation Forest score: -0.040,280,-1,-281,-280.0,Feature importance analysis pending,N/A
Chhattisgarh,Kabeerdham,2026,1,ANOMALY_DETECTED,Isolation Forest score: -0.035,215,-1,-216,-215.0,Feature importance analysis pending,N/A
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2026,1,NORMAL,No bottleneck indicators detected,19,-1,-20,-19.0,Feature importance analysis pending,N/A
Andhra Pradesh,Tirupati,2026,1,NORMAL,No bottleneck indicators detected,30,-1,-31,-30.0,Feature importance analysis pending,N/A
Chhattisgarh,Gariyaband,2026,1,ANOMALY_DETECTED,Isolation Forest score: -0.050,231,-1,-232,-231.0,Feature importance analysis pending,N/A
Chandigarh,Chandigarh,2026,1,NORMAL,No bottleneck indicators detected,97,-1,-98,-97.0,Feature importance analysis pending,N/A
Andhra Pradesh,Annamayya,2026,1,NORMAL,No bottleneck indicators detected,34,-1,-35,-34.0,Feature importance analysis pending,N/A
Andhra Pradesh,Nalgonda,2026,1,NORMAL,No bottleneck indicators detected,55,-1,-56,-55.0,Feature importance analysis pending,N/A
Assam,North Cachar Hills,2026,1,NORMAL,No bottleneck indicators detected,26,-1,-27,-26.0,Feature importance analysis pending,N/A
Chhattisgarh,Dakshin Bastar Dantewada,2026,1,NORMAL,No bottleneck indicators detected,97,-1,-98,-97.0,Feature importance analysis pending,N/A
Chhattisgarh,Dantewada,2026,1,NORMAL,No bottleneck indicators detected,40,-1,-41,-40.0,Feature importance analysis pending,N/A
Andhra Pradesh,Kakinada,2026,1,NORMAL,No bottleneck indicators detected,34,-1,-35,-34.0,Feature importance analysis pending,N/A
Andhra Pradesh,Medak,2026,1,NORMAL,No bottleneck indicators detected,33,-1,-34,-33.0,Feature importance analysis pending,N/A
Andhra Pradesh,N. T. R,2026,1,NORMAL,No bottleneck indicators detected,30,-1,-31,-30.0,Feature importance analysis pending,N/A
Arunachal Pradesh,Changlang,2026,1,NORMAL,No bottleneck indicators detected,28,-1,-29,-28.0,Feature importance analysis pending,N/A
Andhra Pradesh,Bapatla,2026,1,NORMAL,No bottleneck indicators detected,24,-1,-25,-24.0,Feature importance analysis pending,N/A
Andhra Pradesh,Alluri Sitharama Raju,2026,1,NORMAL,No bottleneck indicators detected,24,-1,-25,-24.0,Feature importance analysis pending,N/A
Andhra Pradesh,Karimnagar,2026,1,NORMAL,No bottleneck indicators detected,22,-1,-23,-22.0,Feature importance analysis pending,N/A
Andhra Pradesh,Y. S. R,2026,1,NORMAL,No bottleneck indicators detected,21,-1,-22,-21.0,Feature importance analysis pending,N/A
Assam,South Salmara Mankachar,2026,1,NORMAL,No bottleneck indicators detected,18,-1,-19,-18.0,Feature importance analysis pending,N/A
Andhra Pradesh,Sri Sathya Sai,2026,1,OPERATIONAL_BOTTLENECK,Low completion rate (-0.10); Significant backlog (11); Bio/Demo ratio low (-0.10),-1,10,11,-0.1,Feature importance analysis pending,N/A
Andhra Pradesh,Eluru,2026,1,NORMAL,No bottleneck indicators detected,16,-1,-17,-16.0,Feature importance analysis pending,N/A
Andhra Pradesh,Parvathipuram Manyam,2026,1,NORMAL,No bottleneck indicators detected,14,-1,-15,-14.0,Feature importance analysis pending,N/A
Andhra Pradesh,Palnadu,2026,1,NORMAL,No bottleneck indicators detected,13,-1,-14,-13.0,Feature importance analysis pending,N/A
Andhra Pradesh,Anakapalli,2026,1,NORMAL,No bottleneck indicators detected,12,-1,-13,-12.0,Feature importance analysis pending,N/A
Assam,Majuli,2026,1,NORMAL,No bottleneck indicators detected,11,-1,-12,-11.0,Feature importance analysis pending,N/A
Andaman and Nicobar Islands,North And Middle Andaman,2026,1,NORMAL,No bottleneck indicators detected,10,-1,-11,-10.0,Feature importance analysis pending,N/A
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2026,1,NORMAL,No bottleneck indicators detected,0,-1,-1,-0.0,Feature importance analysis pending,N/A
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,2026,1,NORMAL,No bottleneck indicators detected,0,-1,-1,-0.0,Feature importance analysis pending,N/A
Andhra Pradesh,Srikakulam,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (5.95),250,42,-208,5.9523809523809526,Feature importance analysis pending,N/A
Andhra Pradesh,Ananthapuramu,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (12.22),220,18,-202,12.22222222222222,Feature importance analysis pending,N/A
Andhra Pradesh,West Godavari,2026,1,DEMOGRAPHIC_SURGE,Demo updates 50%+ above 4-week average; Completion rate healthy (7.14),407,57,-350,7.140350877192983,Feature importance analysis pending,N/A
