state,district,ds,yhat,yhat_lower,yhat_upper
100000,100000,2026-01-11,0.0,0.0,2.0965392172981706e-09
100000,100000,2026-01-18,0.0,0.0,2.607125567322935e-09
100000,100000,2026-01-25,0.0,0.0,3.881185127014945e-09
100000,100000,2026-02-01,0.0,0.0,5.420981519721501e-09
Andaman & Nicobar Islands,Andamans,2026-01-11,0.0,0.0,0.0
Andaman & Nicobar Islands,Andamans,2026-01-18,0.0,0.0,0.0
Andaman & Nicobar Islands,Andamans,2026-01-25,0.0,0.0,0.0
Andaman & Nicobar Islands,Andamans,2026-02-01,0.0,0.0,0.0
Andaman & Nicobar Islands,Nicobars,2025-12-14,0.0,0.0,2.048221851905008e-09
Andaman & Nicobar Islands,Nicobars,2025-12-21,0.0,0.0,2.505111409223247e-09
Andaman & Nicobar Islands,Nicobars,2025-12-28,0.0,0.0,3.205466315016619e-09
Andaman & Nicobar Islands,Nicobars,2026-01-04,0.0,0.0,4.67174033912306e-09
Andaman & Nicobar Islands,South Andaman,2026-01-11,0.0,0.0,0.0
Andaman & Nicobar Islands,South Andaman,2026-01-18,0.0,0.0,0.0
Andaman & Nicobar Islands,South Andaman,2026-01-25,0.0,0.0,0.0
Andaman & Nicobar Islands,South Andaman,2026-02-01,0.0,0.0,0.0
Andaman and Nicobar Islands,Nicobar,2026-01-11,0.0,0.0,0.0
Andaman and Nicobar Islands,Nicobar,2026-01-18,0.0,0.0,0.0
Andaman and Nicobar Islands,Nicobar,2026-01-25,0.0,0.0,0.0
Andaman and Nicobar Islands,Nicobar,2026-02-01,0.0,0.0,0.0
Andaman and Nicobar Islands,North And Middle Andaman,2026-01-11,0.0,0.0,0.0
Andaman and Nicobar Islands,North And Middle Andaman,2026-01-18,0.0,0.0,0.0
Andaman and Nicobar Islands,North And Middle Andaman,2026-01-25,0.0,0.0,0.0
Andaman and Nicobar Islands,North And Middle Andaman,2026-02-01,0.0,0.0,0.0
Andaman and Nicobar Islands,South Andaman,2026-01-11,0.0,0.0,0.0
Andaman and Nicobar Islands,South Andaman,2026-01-18,0.0,0.0,0.0
Andaman and Nicobar Islands,South Andaman,2026-01-25,0.0,0.0,0.0
Andaman and Nicobar Islands,South Andaman,2026-02-01,0.0,0.0,0.0
Andhra Pradesh,Adilabad,2026-01-11,0.0,0.0,0.0
Andhra Pradesh,Adilabad,2026-01-18,0.0,0.0,0.0
Andhra Pradesh,Adilabad,2026-01-25,0.0,0.0,0.0
Andhra Pradesh,Adilabad,2026-02-01,0.0,0.0,0.0
Andhra Pradesh,Alluri Sitharama Raju,2026-01-11,0.0,0.0,0.0
Andhra Pradesh,Alluri Sitharama Raju,2026-01-18,617.4260269978513,546.2096933853919,688.8553538205372
Andhra Pradesh,Alluri Sitharama Raju,2026-01-25,4573.686534836076,4497.581386550953,4648.229150695491
Andhra Pradesh,Alluri Sitharama Raju,2026-02-01,12278.475848275346,12207.750113842394,12349.86317436225
Andhra Pradesh,Anakapalli,2026-01-11,0.0,0.0,0.0
Andhra Pradesh,Anakapalli,2026-01-18,0.0,0.0,0.0
Andhra Pradesh,Anakapalli,2026-01-25,0.0,0.0,0.0
Andhra Pradesh,Anakapalli,2026-02-01,0.0,0.0,0.0
Andhra Pradesh,Anantapur,2026-01-11,0.0,0.0,0.0
Andhra Pradesh,Anantapur,2026-01-18,0.0,0.0,0.0
Andhra Pradesh,Anantapur,2026-01-25,6130.421137791943,5603.853903551817,6651.038992766158
Andhra Pradesh,Anantapur,2026-02-01,22119.322679130026,21573.84735968085,22622.580260078415
Andhra Pradesh,Ananthapur,2026-01-11,1605.023511785348,895.579763387936,2343.663442118387
Andhra Pradesh,Ananthapur,2026-01-18,13754.525654273231,13045.784738671213,14421.23987157848
Andhra Pradesh,Ananthapur,2026-01-25,43914.77421637593,43149.40679544257,44655.431506488945
Andhra Pradesh,Ananthapur,2026-02-01,84028.84553729354,83276.66362786885,84763.13055654506
Andhra Pradesh,Ananthapuramu,2026-01-11,2044.6491213577574,902.656283580763,3241.259907085808
Andhra Pradesh,Ananthapuramu,2026-01-18,15806.589269823673,14518.687532769034,16966.112503942008
Andhra Pradesh,Ananthapuramu,2026-01-25,47168.742326836946,45952.89360473661,48356.48472778872
Andhra Pradesh,Ananthapuramu,2026-02-01,84168.78937597813,83056.84397598797,85258.22900502193
Andhra Pradesh,Annamayya,2026-01-11,73.95937389714692,0.0,159.3619406762188
Andhra Pradesh,Annamayya,2026-01-18,654.1030385749924,571.9688651369647,740.1889404802433
Andhra Pradesh,Annamayya,2026-01-25,1707.4661620625357,1622.8105437784354,1794.2605374716316
Andhra Pradesh,Annamayya,2026-02-01,2336.239684795363,2250.7717985383742,2417.994087020003
Andhra Pradesh,Bapatla,2026-01-11,0.0,0.0,0.0
Andhra Pradesh,Bapatla,2026-01-18,0.0,0.0,0.0
Andhra Pradesh,Bapatla,2026-01-25,510.1763955460118,463.86842036588916,556.9783665956033
Andhra Pradesh,Bapatla,2026-02-01,1912.1831870093015,1864.5371920953003,1961.4906038809443
Andhra Pradesh,Chittoor,2026-01-11,2245.8971520965715,160.18469745246452,4453.8279255767775
Andhra Pradesh,Chittoor,2026-01-18,40418.11559733284,38321.95494158752,42402.52013492969
Andhra Pradesh,Chittoor,2026-01-25,153449.60919541016,151334.4997418246,155553.52580925706
Andhra Pradesh,Chittoor,2026-02-01,326712.3132966189,324425.30910627835,328869.7997767759
Andhra Pradesh,Cuddapah,2026-01-11,0.0,0.0,0.0
Andhra Pradesh,Cuddapah,2026-01-18,0.0,0.0,0.0
Andhra Pradesh,Cuddapah,2026-01-25,0.0,0.0,0.0
Andhra Pradesh,Cuddapah,2026-02-01,0.0,0.0,0.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2026-01-11,168.15325678278532,99.00689854482448,238.61010752784756
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2026-01-18,1788.4996883167178,1716.2689693813297,1864.594621439992
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2026-01-25,5454.788727314596,5386.81939363041,5520.494851120619
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2026-02-01,9634.1654045238,9567.141568347968,9700.364360542764
Andhra Pradesh,East Godavari,2026-01-11,2318.7183227289497,768.7185100147522,4031.9621714296813
