state,district,ds,yhat,yhat_reconciled,yhat_lower,yhat_lower_reconciled,yhat_upper,yhat_upper_reconciled,avg_bio_share
100000,100000,2026-01-11,0.0,0.0,0.0,0.0,2.09653921729817e-09,0.0,
100000,100000,2026-01-18,0.0,0.0,0.0,0.0,2.607125567322935e-09,0.0,
100000,100000,2026-01-25,0.0,0.0,0.0,0.0,3.881185127014945e-09,0.0,
100000,100000,2026-02-01,0.0,0.0,0.0,0.0,5.420981519721501e-09,0.0,
Andaman & Nicobar Islands,Andamans,2026-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.9195679210326612
Andaman & Nicobar Islands,Andamans,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.9195679210326612
Andaman & Nicobar Islands,Andamans,2026-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.9195679210326612
Andaman & Nicobar Islands,Andamans,2026-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.9195679210326612
Andaman & Nicobar Islands,Nicobars,2025-12-14,0.0,0.0,0.0,0.0,2.048221851905008e-09,0.0,-0.019230769230769232
Andaman & Nicobar Islands,Nicobars,2025-12-21,0.0,0.0,0.0,0.0,2.505111409223247e-09,0.0,-0.019230769230769232
Andaman & Nicobar Islands,Nicobars,2025-12-28,0.0,0.0,0.0,0.0,3.2054663150166192e-09,0.0,-0.019230769230769232
Andaman & Nicobar Islands,Nicobars,2026-01-04,0.0,0.0,0.0,0.0,4.67174033912306e-09,0.0,-0.019230769230769232
Andaman & Nicobar Islands,South Andaman,2026-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.11237097708465683
Andaman & Nicobar Islands,South Andaman,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.11237097708465683
Andaman & Nicobar Islands,South Andaman,2026-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.11237097708465683
Andaman & Nicobar Islands,South Andaman,2026-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.11237097708465683
Andaman and Nicobar Islands,Nicobar,2026-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.07930505775937627
Andaman and Nicobar Islands,Nicobar,2026-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.07930505775937627
Andaman and Nicobar Islands,Nicobar,2026-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.07930505775937627
Andaman and Nicobar Islands,Nicobar,2026-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.07930505775937627
Andaman and Nicobar Islands,North And Middle Andaman,2026-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.330170607716345
